date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:45:44	723/723	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22592-5b3432b62e2da%22	http://jellywp.com/robots.txt		(from )
01:45:45	69035/69035	---M-Z	200	added ('OK')	text/html	etag:%2210dab-5af6fc7b03d80-gzip%22	http://jellywp.com/html/sprasa-preview/	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/index.html	(from )
01:45:45	4019/4019	---M--	200	added ('OK')	image/png	etag:%22fb3-5af5e07312080%22	http://jellywp.com/html/sprasa-preview/img/favicon.png	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/favicon.png	(from http://jellywp.com/html/sprasa-preview/)
01:45:50	712013/712013	---MCZ	200	added ('OK')	text/css	etag:%22add4d-5af6fc9894340-gzip%22	http://jellywp.com/html/sprasa-preview/css/style.css	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/css/style.css	(from http://jellywp.com/html/sprasa-preview/)
01:45:50	8508/8508	---M--	200	added ('OK')	image/png	etag:%22213c-5af5e03e9e4c0%22	http://jellywp.com/html/sprasa-preview/img/logo_n.png	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/logo_n.png	(from http://jellywp.com/html/sprasa-preview/)
01:45:50	9523/9523	---M--	200	added ('OK')	image/png	etag:%222533-5af5e0b9a4700%22	http://jellywp.com/html/sprasa-preview/img/logo_w.png	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/logo_w.png	(from http://jellywp.com/html/sprasa-preview/)
01:45:51	19961/19961	---M--	200	added ('OK')	image/jpeg	etag:%224df9-5af5e0843c900%22	http://jellywp.com/html/sprasa-preview/img/herdian-indraputra-6kNVJ1fr3Ug-unsplash-380x380.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/herdian-indraputra-6kNVJ1fr3Ug-unsplash-380x380.jpg	(from http://jellywp.com/html/sprasa-preview/)
01:45:51	42999/42999	---M-Z	200	added ('OK')	text/html	etag:%22a7f7-5af6fc80bcb00-gzip%22	http://jellywp.com/html/sprasa-preview/post-layout-2.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-layout-2.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:52	43386/43386	---M-Z	200	added ('OK')	text/html	etag:%22a97a-5af6fc81b0d40-gzip%22	http://jellywp.com/html/sprasa-preview/post-layout-3.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-layout-3.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:52	43523/43523	---M-Z	200	added ('OK')	text/html	etag:%22aa03-5af6fc7ed4680-gzip%22	http://jellywp.com/html/sprasa-preview/post-format-standard.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-format-standard.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:52	44302/44302	---M-Z	200	added ('OK')	text/html	etag:%22ad0e-5af6fc7de0440-gzip%22	http://jellywp.com/html/sprasa-preview/post-format-gallery.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-format-gallery.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:53	43928/43928	---M-Z	200	added ('OK')	text/html	etag:%22ab98-5af6fc7ed4680-gzip%22	http://jellywp.com/html/sprasa-preview/post-format-quote.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-format-quote.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:53	43601/43601	---M-Z	200	added ('OK')	text/html	etag:%22aa51-5af6fc7fc88c0-gzip%22	http://jellywp.com/html/sprasa-preview/post-format-video.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-format-video.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:53	43641/43641	---M-Z	200	added ('OK')	text/html	etag:%22aa79-5af6fc7de0440-gzip%22	http://jellywp.com/html/sprasa-preview/post-format-audio.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/post-format-audio.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:54	44006/44006	---M-Z	200	added ('OK')	text/html	etag:%22abe6-5af6fc791b900-gzip%22	http://jellywp.com/html/sprasa-preview/author.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/author.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:54	44839/44839	---M-Z	200	added ('OK')	text/html	etag:%22af27-5af6fc7a0fb40-gzip%22	http://jellywp.com/html/sprasa-preview/category.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/category.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:55	25657/25657	---M-Z	200	added ('OK')	text/html	etag:%226439-5af6fc7cec200-gzip%22	http://jellywp.com/html/sprasa-preview/page-404.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/page-404.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:55	45127/45127	---M-Z	200	added ('OK')	text/html	etag:%22b047-5af6fc7b03d80-gzip%22	http://jellywp.com/html/sprasa-preview/inspiration.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/inspiration.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:55	45201/45201	---M-Z	200	added ('OK')	text/html	etag:%22b091-5af6fc791b900-gzip%22	http://jellywp.com/html/sprasa-preview/business.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/business.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:56	17991/17991	---M--	200	added ('OK')	image/jpeg	etag:%224647-5af6da79e0380%22	http://jellywp.com/html/sprasa-preview/img/pexels-luis-quintero-3731255-scaled-500x350.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/pexels-luis-quintero-3731255-scaled-500x350.jpg	(from http://jellywp.com/html/sprasa-preview/)
01:45:57	42415/42415	---M-Z	200	added ('OK')	text/html	etag:%22a5af-5af6fc82a4f80-gzip%22	http://jellywp.com/html/sprasa-preview/shop.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/shop.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:58	32855/32855	---M-Z	200	added ('OK')	text/html	etag:%228057-5af6fc7a0fb40-gzip%22	http://jellywp.com/html/sprasa-preview/cart.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/cart.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:58	27227/27227	---M-Z	200	added ('OK')	text/html	etag:%226a5b-5af6fc7bf7fc0-gzip%22	http://jellywp.com/html/sprasa-preview/my-account.html	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/my-account.html	(from http://jellywp.com/html/sprasa-preview/)
01:45:59	26602/26602	---M--	200	added ('OK')	image/jpeg	etag:%2267ea-5af6da7bc8800%22	http://jellywp.com/html/sprasa-preview/img/pexels-matt-hardy-2602545-scaled-500x350.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/pexels-matt-hardy-2602545-scaled-500x350.jpg	(from http://jellywp.com/html/sprasa-preview/)
01:45:59	19314/19314	---M--	200	added ('OK')	image/jpeg	etag:%224b72-5af6da69a9d40%22	http://jellywp.com/html/sprasa-preview/img/paige-muller-q_iJJGDATYQ-unsplash-500x350.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/paige-muller-q_iJJGDATYQ-unsplash-500x350.jpg	(from http://jellywp.com/html/sprasa-preview/)
01:45:59	3302/3302	---M--	200	added ('OK')	image/jpeg	etag:%22ce6-5af5e0b4dfbc0%22	http://jellywp.com/html/sprasa-preview/img/pexels-ichad-windhiagiri-3993407-scaled-120x120.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/pexels-ichad-windhiagiri-3993407-scaled-120x120.jpg	(from http://jellywp.com/html/sprasa-preview/)
01:45:59	3361/3361	---M--	200	added ('OK')	image/jpeg	etag:%22d21-5af5e0974f600%22	http://jellywp.com/html/sprasa-preview/img/pexels-unviajesinmaleta-3404200-120x120.jpg	C:/Users/User/Desktop/blog2/2/jellywp.com/html/sprasa-preview/img/pexels-unviajesinmaleta-3404200-120x120.jpg	(from http://jellywp.com/html/sprasa-preview/)
